"material","disposition","warmMaterial","Air_DEQ_Air PM2.5_kg PM2.5 eq.","Energy_DEQ_Energy demand_MJ","Energy_WARM_Energy use_MJ","Eutrophication_DEQ_Eutrophication_kg N eq.","GHG's_DEQ_Global warming 100_kg CO2 eq.","GHG's_DEQ_Global warming 100(B)_kg CO2 eq.","GHG's_DEQ_Global warming 20_kg CO2 eq.","GHG's_DEQ_Global warming 20(B)_kg CO2 eq.","GHG's_WARM_Global warming_kg CO2 eq.","Toxicity_DEQ_Human toxicity_CTUh","Water_DEQ_Water consumption_kg"
"Glass","useAsAggregate","Glass",-0.00184675006654691,-149.707217390131,NA,0.0693798734419179,13.3192404679975,19.2592125621537,56.7286613951046,61.4264084809332,NA,5.79890557778792e-07,2.66906324195588
"HDPE","combustion","HDPE",-0.11714046365823,-33283.0612865616,-19862.9162660968,-0.144789161348395,1015.6254306782,1016.00950635424,715.989294793343,716.431754014594,1285.91909464539,-3.60441572969959e-07,551.508055372979
"HDPE","landfilling","HDPE",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"HDPE","production","HDPE",0.277827064891773,90935.633100776,64479.7242061126,0.325857584903085,3039.58548035953,3042.08024362857,3803.31661917031,3805.66250782724,1419.03926693742,1.53738425341841e-06,15430.1239473496
"HDPE","recycling","HDPE",-0.101824413394533,-53275.6717316313,-53001.3799491613,-0.0420151420800571,-1256.01980202081,-1258.09012589676,-1742.13489292186,-1744.14966914892,-853.043324452014,-6.97766593679427e-07,-5976.78919326116
"LDPE","combustion","LDPE",-0.11714046365823,-33283.0612865616,-19755.5760130701,-0.144789161348395,1015.6254306782,1016.00950635424,715.989294793343,716.431754014594,1294.11832919226,-3.60441572969959e-07,551.508055372979
"LDPE","landfilling","LDPE",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"LDPE","production","LDPE",0.21965830624981,86069.42987046,74822.2561382808,0.30150613319295,2814.49835632463,2815.328797914,3546.00477660572,3546.69388468561,1795.50857874554,1.48214483105069e-06,13663.1416547804
"LDPE","recycling","LDPE",-0.0993011456073575,-58375.1544094075,NA,-0.0748804712832759,-1521.6754497054,-1522.18804078068,-2041.64038161733,-2042.08855690743,NA,-7.67020397888451e-07,-7694.50616791228
"Nonrecyclables","combustion","Mixed MSW",-0.00854281513833778,-3692.20000348958,-4969.45615864318,0.00552649229122475,262.809318590341,781.978930244255,243.831257064483,763.004529358299,9.1542228046414,2.40773679957011e-07,-3165.51919864351
"Nonrecyclables","landfilling","Mixed MSW",0.0315101165153509,345.972461124483,-31.2382708714443,1.02653507856935,306.158810911425,393.298917127055,958.955879379144,1027.67213035799,357.22420912306,6.68010661224756e-06,-224.28759648258
"Nonrecyclables","production","Mixed MSW",3.39590957144063,75488.0508930777,NA,26.7456358801636,3678.68706654273,3347.59158945854,4411.44740389619,4078.12972943294,NA,0.000278491828909155,35005.2292987059
"PaperFiber","combustion","Mixed Paper (general)",-0.0105736194654945,-4968.67695260073,-7026.09540663462,-0.010240855122116,-218.044163096948,1024.54758347802,-246.435567959266,996.162767343407,-491.02544955382,-5.99245180579026e-08,-4204.82990057021
"PaperFiber","landfilling","Mixed Paper (general)",0.0471689499553506,83.6724307567726,-158.762186909965,0.487708298140568,435.092117872754,678.67035849629,1608.29993242812,1818.65502544913,143.006575374397,2.26511267117146e-07,-473.822795907225
"PaperFiber","production","Mixed Paper (general)",4.06035001026954,54617.8360036635,31064.0504198388,7.65247935324276,2223.99769801312,1216.77668276004,2650.32795737976,1642.67459520032,6073.72686806441,0.000109942649541306,46581.0500545138
"PaperFiber","recycling","Mixed Paper (general)",-1.98657910017794,-31838.3970425126,-21696.2960784739,-2.66047717337572,-1133.97136863035,-207.059483403933,-1365.00635440784,-438.182268488148,-3545.5235990647,-6.08806335318529e-05,-44691.8063359974
"PET","combustion","PET",-0.0562385246667364,-16236.2298170308,-10535.2470563235,-0.0671994187043733,1177.6439642714,1177.81132141329,1030.64446142047,1030.83830888745,1241.66635728723,-1.72473741611892e-07,1601.21363832644
"PET","landfilling","PET",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"PET","production","PET",0.287942641630717,100073.00004987,52815.0300079522,0.409520326924925,4105.66509768285,4108.1811864932,4838.93100835821,4841.29335259995,2174.55676029087,2.20520593431561e-06,27079.4622301202
"PET","recycling","PET",-0.105969624276836,-60243.5628886975,-33678.395334185,-0.104102801277262,-2111.23391897776,-2112.65593663007,-2568.15463526419,-2569.51796967651,-1148.26445794717,-1.24163035507046e-06,-15591.4468537983
"PlasticFilm","combustion","LLDPE",-0.0283427461949476,-12274.614055386,-19824.1545080594,-0.0562943983998656,1609.99543057965,1609.76528149008,1534.16199670532,1533.94676502857,1288.87992934287,-5.7014705180135e-08,-11553.6775107631
"PlasticFilm","landfilling","LLDPE",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"PlasticFilm","production","LLDPE",0.219613511873077,86051.8779438671,69934.5011619898,0.3014446477907,2813.92440261516,2814.75467485463,3545.28164859581,3545.97061614759,1575.79891359439,1.48184258091014e-06,13660.3553639949
"PlasticFilm","recycling","LLDPE",-0.099297406820661,-58374.8049428512,NA,-0.0748718113199443,-1521.65175038183,-1522.16446265473,-2041.61564324607,-2042.06394005772,NA,-7.67005918630294e-07,-7694.44344124659
"PP","combustion","PP",-0.11714046365823,-33283.0612865616,-19826.1422905228,-0.144789161348395,1015.6254306782,1016.00950635424,715.989294793343,716.431754014594,1288.72809166607,-3.60441572969959e-07,551.508055372979
"PP","landfilling","PP",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"PP","production","PP",0.248109538495442,92497.9707656792,70146.585564746,0.33606659014178,3199.74662804448,3200.3424247491,3973.86024475247,3974.30476796697,1535.03343428331,1.55795027764411e-06,15883.8345927965
"PP","recycling","PP",-0.0712398468593809,-53583.0071068327,NA,-0.0424346672165785,-1336.16065462258,-1336.28801236817,-1824.97396065981,-1825.04530044063,NA,-6.98061926809164e-07,-6063.75736056704
"PS","combustion","PS",-0.1060057686397,-30179.1791762696,-17890.0421711155,-0.130616666754766,1401.90744075001,1402.25190630955,1130.02811056296,1130.42515252695,1651.55319427293,-3.26385472034547e-07,743.153675256064
"PS","landfilling","PS",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"PS","production","PS",0.266215829464058,94520.7714814648,78975.9154405106,0.377941181303532,3469.35502480585,3470.71368126085,4116.49293326172,4117.70843431409,2499.63189358162,2.34250965611083e-06,16578.2465608114
"PS","recycling","PS",-0.0897955107764946,-55975.6399838526,NA,-0.0799460057047286,-1596.93741581042,-1597.37759312661,-1984.08041083042,-1984.47014385282,NA,-1.36190994102089e-06,-6885.85146813925
"RigidPlastic","combustion","Mixed Plastics",-0.0283427461949476,-12274.614055386,-14242.397639695,-0.0562943983998656,1609.99543057965,1609.76528149008,1534.16199670532,1533.94676502857,1259.25398367317,-5.7014705180135e-08,-11553.6775107631
"RigidPlastic","landfilling","Mixed Plastics",0.0119914413234302,656.292732961003,283.043033402762,0.241070320880307,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.15399353970057e-07,86.2137150802446
"RigidPlastic","production","Mixed Plastics",0.271062160741393,94482.4583253957,57450.9982149134,0.356938424150086,3445.85654944288,3447.71270972045,4203.06671936506,4204.77158183631,1874.28698729142,1.76476291683264e-06,19428.7179901866
"RigidPlastic","recycling","Mixed Plastics",-0.177928439859491,-72657.4208687357,-41358.0430657781,-0.16238926258479,-2425.27396622418,-2426.53919642477,-3016.85614738551,-3018.0365770944,-1030.93298181448,-1.09521688489147e-06,-14681.5301042438
"ScrapMetal","landfilling","Mixed Metals",0.0119914413234302,656.292732961003,283.043033402762,0.0209281631477364,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.04323154379466e-07,86.2137150802391
"ScrapMetal","production","Mixed Metals",1.23972507421553,33204.4727992902,53661.325579685,0.38318626549093,2720.89467944659,2716.06206509766,2991.81241063604,2986.95456262801,3649.05664311714,6.78205401017804e-06,26602.183552855
"ScrapMetal","recycling","Mixed Metals",-0.872733667563489,-16963.4083771104,-70213.830109433,-0.199861600006442,-1704.62606756538,-1708.34973689808,-1887.35650090541,-1891.08082335148,-4391.16067379307,-2.81831502308907e-06,-16069.0573408209
"TinnedCan","landfilling","Steel Cans",0.0119914413234302,656.292732961003,283.043033402762,0.0252949948371486,38.9759305368053,37.1846134164408,43.8386938229896,42.0440143081177,20.254519141196,2.14602009915236e-07,86.2137150802446
"TinnedCan","production","Steel Cans",0.66341119408675,30067.3761510893,31525.6511021203,0.436459056228186,2626.33321235997,2627.6255052991,2961.78283537547,2963.06122365972,3027.47166236084,7.18299139743345e-07,-784.002263532575
