"year","wasteshed","material","disposition","tons","umbDisp","miles"
2018,"Malheur","FoodWaste","combustion",0,"disposal",180
2018,"Malheur","FoodWaste","combustion",36.178,"recovery",180
2018,"Malheur","FoodWaste","composting",61.134,"recovery",180
2018,"Malheur","FoodWaste","landfilling",3731.53538473875,"disposal",180
2018,"Malheur","Glass","landfilling",389.147446729699,"disposal",180
2018,"Malheur","Glass","recycling",670.832,"recovery",180
2018,"Malheur","Glass","recyclingPozzolan",0,"recovery",180
2018,"Malheur","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Malheur","Glass","useAsAggregate",0,"recovery",20
2018,"Malheur","PaperFiber","combustion",0,"disposal",180
2018,"Malheur","PaperFiber","landfilling",3093.6110403003,"disposal",180
2018,"Malheur","PaperFiber","recycling",112.384,"recovery",180
2018,"Malheur","PlasticFilm","combustion",0,"disposal",180
2018,"Malheur","PlasticFilm","landfilling",1202.72267128132,"disposal",180
2018,"Malheur","PlasticFilm","recycling",220.041,"recovery",180
2018,"Malheur","RigidPlastic","combustion",0,"disposal",180
2018,"Malheur","RigidPlastic","landfilling",535.270362718842,"disposal",180
2018,"Malheur","RigidPlastic","recycling",203.369,"recovery",180
2018,"Malheur","ScrapMetal","landfilling",973.929684261355,"disposal",180
2018,"Malheur","ScrapMetal","recycling",66.351,"recovery",180
2018,"Malheur","TinnedCan","landfilling",159.634929912812,"disposal",180
2018,"Malheur","TinnedCan","recycling",103.848,"recovery",180
2018,"Malheur","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Malheur","YardDebris","combustion",0,"disposal",180
2018,"Malheur","YardDebris","composting",192.5,"recovery",180
2018,"Malheur","YardDebris","landfilling",997.017231063303,"disposal",180
2018,"Marion","Aluminum","landfilling",539.02475745703,"disposal",180
2018,"Marion","Aluminum","recycling",3283.831,"recovery",180
2018,"Marion","Cardboard","combustion",4900.23058620964,"disposal",180
2018,"Marion","Cardboard","landfilling",4502.68831968965,"disposal",180
2018,"Marion","Cardboard","recycling",33283.578,"recovery",180
2018,"Marion","Carpeting","combustion",4295.59602253582,"disposal",180
2018,"Marion","Carpeting","landfilling",3947.10609970262,"disposal",180
2018,"Marion","Carpeting","recycling",0,"recovery",180
2018,"Marion","Electronics","landfilling",1121.87436210392,"disposal",180
2018,"Marion","Electronics","recycling",2110.948,"recovery",180
2018,"Marion","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Marion","FoodWaste","combustion",22570.1029517072,"disposal",180
2018,"Marion","FoodWaste","combustion",24.626,"recovery",180
2018,"Marion","FoodWaste","composting",1786.967,"recovery",180
2018,"Marion","FoodWaste","landfilling",20739.0524072161,"disposal",180
2018,"Marion","Glass","landfilling",1308.11336670429,"disposal",180
2018,"Marion","Glass","recycling",10189.33,"recovery",180
2018,"Marion","Glass","recyclingPozzolan",0,"recovery",180
2018,"Marion","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Marion","Glass","useAsAggregate",0,"recovery",20
2018,"Marion","PaperFiber","combustion",18649.4196631013,"disposal",180
2018,"Marion","PaperFiber","landfilling",17136.4433996952,"disposal",180
2018,"Marion","PaperFiber","recycling",14932.704,"recovery",180
2018,"Marion","PlasticFilm","combustion",0,"disposal",180
2018,"Marion","PlasticFilm","landfilling",7528.8123251463,"disposal",180
2018,"Marion","PlasticFilm","recycling",1235.422,"recovery",180
2018,"Marion","RigidPlastic","combustion",2920.42487068653,"disposal",180
2018,"Marion","RigidPlastic","landfilling",2683.49881141876,"disposal",180
2018,"Marion","RigidPlastic","recycling",2754.168,"recovery",180
2018,"Marion","ScrapMetal","landfilling",4079.62202780033,"disposal",180
2018,"Marion","ScrapMetal","recycling",69657.628,"recovery",180
2018,"Marion","TinnedCan","landfilling",740.918498613356,"disposal",180
2018,"Marion","TinnedCan","recycling",547.411,"recovery",180
2018,"Marion","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Marion","YardDebris","combustion",860.11,"recovery",180
2018,"Marion","YardDebris","composting",51822.258,"recovery",180
2018,"Marion","YardDebris","landfilling",2712.24687305817,"disposal",180
2018,"Metro","Aluminum","landfilling",5339.71412170098,"disposal",180
2018,"Metro","Aluminum","recycling",13175.421,"recovery",180
2018,"Metro","Cardboard","combustion",131.421375396238,"disposal",180
2018,"Metro","Cardboard","landfilling",52943.6977419843,"disposal",180
2018,"Metro","Cardboard","recycling",189108.91,"recovery",180
2018,"Metro","Carpeting","combustion",72.7710920889786,"disposal",180
2018,"Metro","Carpeting","landfilling",29316.1648346535,"disposal",180
2018,"Metro","Carpeting","recycling",0,"recovery",180
2018,"Metro","Electronics","landfilling",7597.50443448675,"disposal",180
2018,"Metro","Electronics","recycling",5251.15,"recovery",180
2018,"Metro","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Metro","FoodWaste","combustion",457.276996478197,"disposal",180
2018,"Metro","FoodWaste","combustion",13393.607,"recovery",180
2018,"Metro","FoodWaste","composting",23492.812,"recovery",180
2018,"Metro","FoodWaste","landfilling",184216.114105568,"disposal",180
2018,"Metro","Glass","landfilling",11335.8802644526,"disposal",180
2018,"Metro","Glass","recycling",59679.178,"recovery",180
2018,"Metro","Glass","recyclingPozzolan",0,"recovery",180
2018,"Metro","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Metro","Glass","useAsAggregate",0,"recovery",20
2018,"Metro","PaperFiber","combustion",393.48516890038,"disposal",180
2018,"Metro","PaperFiber","landfilling",158517.286745819,"disposal",180
2018,"Metro","PaperFiber","recycling",135883.584,"recovery",180
2018,"Metro","PlasticFilm","combustion",0,"disposal",180
2018,"Metro","PlasticFilm","landfilling",78827.3796398628,"disposal",180
2018,"Metro","PlasticFilm","recycling",4473.638,"recovery",180
2018,"Metro","RigidPlastic","combustion",55.1301719533834,"disposal",180
2018,"Metro","RigidPlastic","landfilling",22209.4400668333,"disposal",180
2018,"Metro","RigidPlastic","recycling",10357.251,"recovery",180
2018,"Metro","ScrapMetal","landfilling",39867.6136268755,"disposal",180
2018,"Metro","ScrapMetal","recycling",232715.674,"recovery",180
2018,"Metro","TinnedCan","landfilling",5065.48824622358,"disposal",180
2018,"Metro","TinnedCan","recycling",4400.419,"recovery",180
2018,"Metro","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Metro","YardDebris","combustion",2117.542,"recovery",180
2018,"Metro","YardDebris","composting",223772.814,"recovery",180
2018,"Metro","YardDebris","landfilling",34037.5583890859,"disposal",180
2018,"Milton Freewater","Aluminum","landfilling",6.23546384886663,"disposal",180
2018,"Milton Freewater","Aluminum","recycling",56.369,"recovery",180
2018,"Milton Freewater","Cardboard","combustion",0,"disposal",180
2018,"Milton Freewater","Cardboard","landfilling",54.5608889243146,"disposal",180
2018,"Milton Freewater","Cardboard","recycling",393.636,"recovery",180
2018,"Milton Freewater","Carpeting","combustion",0,"disposal",180
2018,"Milton Freewater","Carpeting","landfilling",40.3605503043404,"disposal",180
2018,"Milton Freewater","Carpeting","recycling",0,"recovery",180
2018,"Milton Freewater","Electronics","landfilling",18.5030190862793,"disposal",180
2018,"Milton Freewater","Electronics","recycling",6.323,"recovery",180
2018,"Milton Freewater","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Milton Freewater","FoodWaste","combustion",0,"disposal",180
2018,"Milton Freewater","FoodWaste","composting",0,"recovery",180
2018,"Milton Freewater","FoodWaste","landfilling",251.977443775544,"disposal",180
2018,"Milton Freewater","Glass","landfilling",26.2777566788621,"disposal",180
2018,"Milton Freewater","Glass","recycling",187.538,"recovery",180
2018,"Milton Freewater","Glass","recyclingPozzolan",0,"recovery",180
2018,"Milton Freewater","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Milton Freewater","Glass","useAsAggregate",0,"recovery",20
2018,"Milton Freewater","PaperFiber","combustion",0,"disposal",180
2018,"Milton Freewater","PaperFiber","landfilling",208.900659272522,"disposal",180
2018,"Milton Freewater","PaperFiber","recycling",78.627,"recovery",180
2018,"Milton Freewater","PlasticFilm","combustion",6.7,"recovery",180
2018,"Milton Freewater","PlasticFilm","landfilling",81.215626554102,"disposal",180
2018,"Milton Freewater","PlasticFilm","recycling",10.403,"recovery",180
2018,"Milton Freewater","RigidPlastic","combustion",0,"disposal",180
2018,"Milton Freewater","RigidPlastic","landfilling",36.1449226177296,"disposal",180
2018,"Milton Freewater","RigidPlastic","recycling",56.122,"recovery",180
2018,"Milton Freewater","ScrapMetal","landfilling",65.7660418445905,"disposal",180
2018,"Milton Freewater","ScrapMetal","recycling",99.367,"recovery",180
2018,"Milton Freewater","TinnedCan","landfilling",10.7795846560181,"disposal",180
2018,"Milton Freewater","TinnedCan","recycling",3.783,"recovery",180
2018,"Milton Freewater","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Milton Freewater","YardDebris","combustion",0,"disposal",180
2018,"Milton Freewater","YardDebris","composting",119.76,"recovery",180
2018,"Milton Freewater","YardDebris","landfilling",67.3250625763771,"disposal",180
2018,"Morrow","Aluminum","landfilling",67.4644617251223,"disposal",180
2018,"Morrow","Aluminum","recycling",34.056,"recovery",180
2018,"Morrow","Cardboard","combustion",0,"disposal",180
2018,"Morrow","Cardboard","landfilling",590.320318061362,"disposal",180
2018,"Morrow","Cardboard","recycling",2551.381,"recovery",180
2018,"Morrow","Carpeting","combustion",0,"disposal",180
2018,"Morrow","Carpeting","landfilling",436.68007179722,"disposal",180
2018,"Morrow","Carpeting","recycling",0,"recovery",180
2018,"Morrow","Electronics","landfilling",200.19300138712,"disposal",180
2018,"Morrow","Electronics","recycling",1.242,"recovery",180
2018,"Morrow","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Morrow","FoodWaste","combustion",0,"disposal",180
2018,"Morrow","FoodWaste","composting",0,"recovery",180
2018,"Morrow","FoodWaste","landfilling",2726.26432022041,"disposal",180
2018,"Morrow","Glass","landfilling",284.311600973423,"disposal",180
2018,"Morrow","Glass","recycling",67.083,"recovery",180
2018,"Morrow","Glass","recyclingPozzolan",0,"recovery",180
2018,"Morrow","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Morrow","Glass","useAsAggregate",0,"recovery",20
2018,"Morrow","PaperFiber","combustion",0,"disposal",180
2018,"Morrow","PaperFiber","landfilling",2260.19601322932,"disposal",180
2018,"Morrow","PaperFiber","recycling",82.697,"recovery",180
2018,"Morrow","PlasticFilm","combustion",0,"disposal",180
2018,"Morrow","PlasticFilm","landfilling",878.71065600628,"disposal",180
2018,"Morrow","PlasticFilm","recycling",623.38,"recovery",180
2018,"Morrow","RigidPlastic","combustion",0,"disposal",180
2018,"Morrow","RigidPlastic","landfilling",391.069182278164,"disposal",180
2018,"Morrow","RigidPlastic","recycling",41.461,"recovery",180
2018,"Morrow","ScrapMetal","landfilling",711.554219602062,"disposal",180
2018,"Morrow","ScrapMetal","recycling",1412.49,"recovery",180
2018,"Morrow","TinnedCan","landfilling",116.629475218725,"disposal",180
2018,"Morrow","TinnedCan","recycling",3.95,"recovery",180
2018,"Morrow","YardDebris","anaerobicDigestion",0,"recovery",180
2018,"Morrow","YardDebris","combustion",0,"disposal",180
2018,"Morrow","YardDebris","composting",0,"recovery",180
2018,"Morrow","YardDebris","landfilling",728.422009559245,"disposal",180
2018,"Polk","Aluminum","landfilling",178.422804332866,"disposal",180
2018,"Polk","Aluminum","recycling",296.635,"recovery",180
2018,"Polk","Cardboard","combustion",8.88483421214755,"disposal",180
2018,"Polk","Cardboard","landfilling",1561.21614120811,"disposal",180
2018,"Polk","Cardboard","recycling",4959.327,"recovery",180
2018,"Polk","Carpeting","combustion",6.57241487877042,"disposal",180
2018,"Polk","Carpeting","landfilling",1154.88482400985,"disposal",180
2018,"Polk","Carpeting","recycling",0,"recovery",180
2018,"Polk","Electronics","landfilling",529.449072918377,"disposal",180
2018,"Polk","Electronics","recycling",25.656,"recovery",180
2018,"Polk","FoodWaste","anaerobicDigestion",0,"recovery",180
2018,"Polk","FoodWaste","combustion",41.0326491610503,"disposal",180
2018,"Polk","FoodWaste","composting",272.861,"recovery",180
2018,"Polk","FoodWaste","landfilling",7210.13275623934,"disposal",180
2018,"Polk","Glass","landfilling",751.916962692595,"disposal",180
2018,"Polk","Glass","recycling",1009.054,"recovery",180
2018,"Polk","Glass","recyclingPozzolan",0,"recovery",180
2018,"Polk","Glass","recyclingToFiberglass",0,"recovery",180
2018,"Polk","Glass","useAsAggregate",0,"recovery",20
2018,"Polk","PaperFiber","combustion",34.0179157824819,"disposal",180
2018,"Polk","PaperFiber","landfilling",5977.525065944,"disposal",180
2018,"Polk","PaperFiber","recycling",2568.882,"recovery",180
2018,"Polk","PlasticFilm","combustion",0,"disposal",180
2018,"Polk","PlasticFilm","landfilling",2323.92011190435,"disposal",180
