"year","wasteshed","material","LCstage","disposition","umbDisp","tons"
2018,"Benton","TinnedCan","endOfLifeTransport","landfilling","Disposal",391.902655368469
2018,"Benton","TinnedCan","endOfLifeTransport","recycling","Recovery",180.868
2018,"Benton","TinnedCan","production","production","Production",572.772243390426
2018,"Clatsop","Aluminum","endOfLife","landfilling","Disposal",120.828259439248
2018,"Clatsop","Aluminum","endOfLife","recycling","Recovery",340.451
2018,"Clatsop","Aluminum","endOfLifeTransport","landfilling","Disposal",120.828259439248
2018,"Clatsop","Aluminum","endOfLifeTransport","recycling","Recovery",340.451
2018,"Clatsop","Aluminum","production","production","Production",461.279577413828
2018,"Clatsop","Cardboard","endOfLife","combustion","Disposal",0.00278230716445372
2018,"Clatsop","Cardboard","endOfLife","landfilling","Disposal",1057.25851387645
2018,"Clatsop","Cardboard","endOfLife","recycling","Recovery",4330.026
2018,"Clatsop","Cardboard","endOfLifeTransport","combustion","Disposal",0.00278230716445372
2018,"Clatsop","Cardboard","endOfLifeTransport","landfilling","Disposal",1057.25851387645
2018,"Clatsop","Cardboard","endOfLifeTransport","recycling","Recovery",4330.026
2018,"Clatsop","Cardboard","production","production","Production",5387.28729618362
2018,"Clatsop","Carpeting","endOfLife","combustion","Disposal",0.00205816749849575
2018,"Clatsop","Carpeting","endOfLife","landfilling","Disposal",782.090179894166
2018,"Clatsop","Carpeting","endOfLife","recycling",NA,0
2018,"Clatsop","Carpeting","endOfLifeTransport","combustion","Disposal",0.00205816749849575
2018,"Clatsop","Carpeting","endOfLifeTransport","landfilling","Disposal",782.090179894166
2018,"Clatsop","Carpeting","endOfLifeTransport","recycling",NA,0
2018,"Clatsop","Carpeting","production","production","Production",782.092238061664
2018,"Clatsop","FoodWaste","endOfLife","anaerobicDigestion",NA,0
2018,"Clatsop","FoodWaste","endOfLife","combustion","Disposal",0.0128494725969356
2018,"Clatsop","FoodWaste","endOfLife","composting","Recovery",2.532
2018,"Clatsop","FoodWaste","endOfLife","landfilling","Disposal",4882.71549435474
2018,"Clatsop","FoodWaste","endOfLifeTransport","anaerobicDigestion",NA,0
2018,"Clatsop","FoodWaste","endOfLifeTransport","combustion","Disposal",0.0128494725969356
2018,"Clatsop","FoodWaste","endOfLifeTransport","composting","Recovery",2.532
2018,"Clatsop","FoodWaste","endOfLifeTransport","landfilling","Disposal",4882.71549435474
2018,"Clatsop","FoodWaste","production","production","Production",4885.26034382734
2018,"Clatsop","Glass","endOfLife","landfilling","Disposal",509.199584574947
2018,"Clatsop","Glass","endOfLife","recycling","Recovery",1507.64
2018,"Clatsop","Glass","endOfLife","recyclingPozzolan",NA,0
2018,"Clatsop","Glass","endOfLife","recyclingToFiberglass",NA,0
2018,"Clatsop","Glass","endOfLife","reuseContainer",NA,0
2018,"Clatsop","Glass","endOfLife","useAsAggregate",NA,0
2018,"Clatsop","Glass","endOfLifeTransport","landfilling","Disposal",509.199584574947
2018,"Clatsop","Glass","endOfLifeTransport","recycling","Recovery",1507.64
2018,"Clatsop","Glass","endOfLifeTransport","recyclingPozzolan",NA,0
2018,"Clatsop","Glass","endOfLifeTransport","recyclingToFiberglass",NA,0
2018,"Clatsop","Glass","endOfLifeTransport","reuseContainer",NA,0
2018,"Clatsop","Glass","endOfLifeTransport","useAsAggregate",NA,0
2018,"Clatsop","Glass","production","production","Production",2016.84092459693
2018,"Clatsop","PaperFiber","endOfLife","combustion","Disposal",0.0106527919982994
2018,"Clatsop","PaperFiber","endOfLife","landfilling","Disposal",4047.99124289658
2018,"Clatsop","PaperFiber","endOfLife","recycling","Recovery",1404.823
2018,"Clatsop","PaperFiber","endOfLifeTransport","combustion","Disposal",0.0106527919982994
2018,"Clatsop","PaperFiber","endOfLifeTransport","landfilling","Disposal",4047.99124289658
2018,"Clatsop","PaperFiber","endOfLifeTransport","recycling","Recovery",1404.823
2018,"Clatsop","PaperFiber","production","production","Production",5452.82489568858
2018,"Clatsop","PlasticFilm","endOfLife","combustion","Disposal",0.00414155311766512
2018,"Clatsop","PlasticFilm","endOfLife","landfilling","Disposal",1573.76308060607
2018,"Clatsop","PlasticFilm","endOfLife","recycling","Recovery",35.121
2018,"Clatsop","PlasticFilm","endOfLifeTransport","combustion","Disposal",0.00414155311766512
2018,"Clatsop","PlasticFilm","endOfLifeTransport","landfilling","Disposal",1573.76308060607
2018,"Clatsop","PlasticFilm","endOfLifeTransport","recycling","Recovery",35.121
2018,"Clatsop","PlasticFilm","production","production","Production",1608.88822215919
2018,"Clatsop","ScrapMetal","endOfLife","landfilling","Disposal",1274.38736858926
2018,"Clatsop","ScrapMetal","endOfLife","recycling","Recovery",5555.646
2018,"Clatsop","ScrapMetal","endOfLifeTransport","landfilling","Disposal",1274.38736858926
2018,"Clatsop","ScrapMetal","endOfLifeTransport","recycling","Recovery",5555.646
2018,"Clatsop","ScrapMetal","production","production","Production",6830.03672229799
