"impactCategory","impactUnits","year","wasteshed","material","magnitude","pctOfTotal","datatype"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","TinnedCan",1329.87983625708,0.00319256870701141,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","YardDebris",-1262.06361039577,-0.00302976605777224,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","Aluminum",5459.63250566409,0.0286818139196921,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","Cardboard",3830.32301037213,0.0201223455464875,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","Carpeting",1314.14434806162,0.00690376936828895,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","Electronics",76324.458226678,0.400965432400035,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","FoodWaste",32684.7423798547,0.171707106289572,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","Glass",4153.65913338631,0.0218209702257468,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","PaperFiber",52426.9539958201,0.275421493539054,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","PlasticFilm",1577.05949472582,0.0082849764926637,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","RigidPlastic",600.412982440643,0.00315422941369479,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","ScrapMetal",11286.2171297963,0.0592913862312575,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","TinnedCan",591.193516847375,0.00310579556831953,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Douglas","YardDebris",102.91955729807,0.000540681005188145,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","Aluminum",62.0800655167464,0.0078463784334938,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","Cardboard",136.129235286351,0.0172055471756985,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","Carpeting",61.1959254520267,0.00773463084627301,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","Electronics",3293.00915912685,0.416207615639524,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","FoodWaste",1522.03450583933,0.192371876901927,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","Glass",95.3890918882957,0.0120563486386943,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","PaperFiber",2260.60844492825,0.285721176374632,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","PlasticFilm",72.5405042823805,0.00916848659256804,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","RigidPlastic",25.2384637427466,0.003189921530482,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","ScrapMetal",346.424120807592,0.0437849852077476,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","TinnedCan",25.9567355218719,0.0032807048141368,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Gilliam","YardDebris",11.3324901675064,0.0014323278448235,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","Aluminum",133.469343058887,0.0152792841314055,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","Cardboard",213.471011876962,0.0244377035919603,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","Carpeting",66.0054904413427,0.0075561669786678,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","Electronics",3403.8417010286,0.389664497452397,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","FoodWaste",1641.65560508317,0.187933212684755,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Grant","Glass",210.066497178761,0.024047962051235,"impact"
